"Estimate summary								",,,,,,,,,,
"Upfront cost	Monthly cost	Total 12 months cost	Currency					",,,,,,,,,,
"0	18523.74	222284.88	USD					",,,,,,,,,,
"		* Includes upfront cost						",,,,,,,,,,
"								",,,,,,,,,,
"								",,,,,,,,,,
"Detailed Estimate								",,,,,,,,,,
"Group hierarchy	Region	Description	Service	Upfront	Monthly	First 12 months total	Currency	Configuration summary",,,,,,,,,,
"My Estimate	US East (N. Virginia)		Amazon Route 53	0	183	2196	USD	""Hosted Zones (1)"," Number of Elastic Network Interfaces (2)""",,,,,,,,,
"My Estimate	US East (N. Virginia)		Application Load Balancer	0	202.21	2426.52	USD	Number of Application Load Balancers (2)",,,,,,,,,,
"My Estimate	US East (N. Virginia)		Network Load Balancer	0	59.13	709.56	USD	""Number of Network Load Balancers (2)", Average number of new TCP connections (4 per second), Processed bytes per NLB for TCP (1 GB per hour), Processed bytes per NLB for UDP (1 GB per hour), Average number of new UDP Flows (100 per second), Average UDP Flow duration (10 seconds), Processed bytes per NLB for TLS (1 GB per hour), Average number of new TLS connections (10 per second)," Average TLS connection duration (10 seconds)""",,
"My Estimate	US East (N. Virginia)		VPN Connection	0	73	876	USD	""Working days per month (22)", Number of Site-to-Site VPN Connections (2)," Number of subnet associations ()""",,,,,,,,
"My Estimate	US East (N. Virginia)		Amazon EC2	0	8738.23	104858.76	USD	""Operating system (Linux)", Storage amount (2 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 10), Advance EC2 instance (m5.4xlarge), Pricing strategy (On-Demand), Snapshot Frequency (2x Daily)," Amount changed per snapshot (4 GB)"""
"My Estimate	US East (N. Virginia)		Amazon RDS for MySQL	0	8802.25	105627	USD	""Storage for each RDS instance (General Purpose SSD (gp2))", Storage amount (10 TB), Quantity (2), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (1 TB)," Total Size of Backup Processed for Export (GB) (1 per month)""",,
"My Estimate	US East (N. Virginia)		S3 Standard	0	5.12	61.44	USD	S3 Standard storage (100 GB per month)",,,,,,,,,,
"My Estimate	US East (N. Virginia)		Data Transfer	0	460.8	5529.6	USD	""DT Inbound: All other regions (5 TB per month)"," DT Outbound: Internet (5 TB per month)""",,,,,,,,,
"My Estimate	US East (N. Virginia)		Amazon Elastic IP	0	0	0	USD	""Number of EC2 instances (6)"," Number of EIPs per instance (1)""",,,,,,,,,
"								",,,,,,,,,,
"								",,,,,,,,,,
"								",,,,,,,,,,
"Acknowledgement								",,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.								",,,,,,,,,,
"								",,,,,,,,,,
Changes:,,,,,,,,,,
   - Amazon EC2: ,,,,,,,,,,
,   + Increase number of instances of EC2 from 6 to 10,,,,,,,,,
,   + Change instance type to m5.4xlarge,,,,,,,,,
   - Amazon RDS for MySQL: 															",,,,,,,,,,
,  + Change instance type to db.m5.4xlarge,,,,,,,,,
,  + Increase storage amount from 8TB to 10TB,,,,,,,,,
